----------------------------------------
            Restaurant Receipt          
----------------------------------------
Order ID: 82058f89-636a-46df-b1f9-6fce251e7631
Table: 1 (Seats: 6)
Order Time: 22:17
----------------------------------------
Items:
-  Caprese Salad           $7.49
-  Mozzarella Sticks           $6.99
-  Caprese Salad           $7.49
-  Shrimp Cocktail           $9.99
-  Shrimp Cocktail           $9.99
-  Shrimp Cocktail           $9.99
-  Mozzarella Sticks           $6.99
-  Bruschetta           $5.99
-  Stuffed Mushrooms           $7.99
-  Coffee           $2.99
-  Berry Smoothie           $5.49
-  Coffee           $2.99
-  Mineral Water           $2.99
-  Mocktail           $5.99
----------------------------------------
Total Price:       $0.00
----------------------------------------
